ScientificName,latitude,longitude
Pourtalosmilia conferta,35,-75
Pourtalosmilia conferta,29,-88
Pourtalosmilia conferta,24,-81
Lophelia pertusa,31,-80
Lophelia pertusa,28,-79
Lophelia pertusa,26,-80
Lophelia pertusa,29,-88
Lophelia pertusa,29,-79
Lophelia pertusa,30,-80
Lophelia pertusa,32,-79
Lophelia pertusa,32,-78
Lophelia pertusa,31,-79
Lophelia pertusa,33,-78
Lophelia pertusa,29,-80
Lophelia pertusa,34,-76
Lophelia pertusa,24,-82
Lophelia pertusa,27,-80
Lophelia pertusa,41,-67
Lophelia pertusa,28,-80
Lophelia pertusa,27,-79
Lophelia pertusa,26,-79
Lophelia pertusa,29,-87
Madrepora oculata,28,-90
Lophelia pertusa,28,-90
Madrepora oculata,28,-91
Caryophyllia (Caryophyllia) barbadensis,28,-91
Phyllangia americana,26,-96
Phyllangia americana,28,-93
Pourtalosmilia conferta,28,-91
Stenocyathus vermiformis,28,-91
Stenocyathus vermiformis,28,-92
Caryophyllia,29,-88
Lophelia pertusa,26,-85
Flabellum (Ulocyathus) moseleyi,27,-85
Bathypsammia,27,-85
Caryophyllia,26,-85
Madrepora oculata,26,-85
Cladopsammia,29,-86
Madracis myriaster,25,-77
Madracis myriaster,26,-84
Fungiacyathus (Bathyactis) symmetricus,25,-80
Fungiacyathus (Bathyactis) symmetricus,28,-79
Fungiacyathus (Bathyactis) symmetricus,26,-79
Fungiacyathus (Bathyactis) crispus,29,-86
Madrepora oculata,26,-78
Madrepora oculata,24,-81
Madrepora oculata,27,-79
Madrepora oculata,26,-80
Madrepora oculata,23,-82
Madrepora carolina,25,-80
Caryophyllia (Caryophyllia) antillarum,26,-79
Caryophyllia (Caryophyllia) ambrosia,24,-82
Caryophyllia (Caryophyllia) ambrosia,26,-79
Caryophyllia (Caryophyllia) ambrosia,23,-81
Caryophyllia (Caryophyllia) ambrosia,24,-79
Caryophyllia (Caryophyllia) ambrosia,23,-80
Caryophyllia (Caryophyllia) ambrosia,23,-79
Caryophyllia (Caryophyllia) berteriana,26,-79
Caryophyllia (Caryophyllia) berteriana,28,-79
Caryophyllia (Caryophyllia) berteriana,23,-83
Caryophyllia (Caryophyllia) berteriana,24,-88
Caryophyllia (Caryophyllia) berteriana,26,-84
Premocyathus cornuformis,23,-83
Caryophyllia (Caryophyllia) polygona,27,-80
Caryophyllia (Caryophyllia) polygona,24,-83
Crispatotrochus,26,-79
Crispatotrochus,28,-80
Crispatotrochus,27,-80
Oxysmilia rotundifolia,34,-76
Trochocyathus,24,-80
Tethocyathus recurvatus,23,-82
Tethocyathus recurvatus,29,-86
Trochocyathus,23,-83
Paracyathus pulchellus,28,-79
Paracyathus pulchellus,24,-81
Paracyathus pulchellus,26,-79
Paracyathus pulchellus,25,-81
Paracyathus pulchellus,23,-82
Paracyathus pulchellus,23,-83
Paracyathus pulchellus,29,-86
Paracyathus pulchellus,26,-78
